parcel_id,village,district,taluk,digital_block_no,survey_no,subdivision_no,parcel_area_sq_m,parcel_area_ha,land_use,centroid_latitude,centroid_longitude,elevation_m,slope_degree,rainfall_24h_mm,rainfall_7day_mm,flood_depth_m,flood_probability,landslide_probability,distance_to_river_m,distance_to_road_m,population_density_per_sq_km,building_density,soil_moisture_index,risk_score,risk_level,risk_rank_within_village,relocation_screening,recommended_action,hazard_screening_basis,cadastral_status,geometry_status,property_boundary_status,data_status,official_cadastral_boundary,usable_for_prototype,usable_as_legal_land_record
DEMO-01-0011,Achooranam,Wayanad,Vythiri,DEMO-01-05,DEMO-01/60,7,1161.3,0.1161,Mixed,11.5535009,76.0426427,764.1,15.6,128.7,242.6,0.54,0.39,0.254,1553.0,600.4,82.7,0.077,0.885,34.1,MEDIUM,40,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0012,Achooranam,Wayanad,Vythiri,DEMO-01-04,DEMO-01/502,2,5306.3,0.5306,Mixed,11.5536981,76.043742,808.4,4.7,117.5,212.1,0.97,0.506,0.361,1634.6,357.0,275.2,0.62,0.494,39.1,MEDIUM,84,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0013,Achooranam,Wayanad,Vythiri,DEMO-01-07,DEMO-01/891,1,3575.9,0.3576,Residential,11.5537651,76.0451414,706.0,21.8,178.1,436.5,0.57,0.569,0.51,2210.5,384.3,1274.3,0.277,0.699,51.8,HIGH,190,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0014,Achooranam,Wayanad,Vythiri,DEMO-01-14,DEMO-01/759,9,1758.1,0.1758,Plantation,11.553587,76.0460018,1012.3,8.1,105.6,464.7,0.12,0.184,0.204,265.1,104.6,219.0,0.233,0.685,26.0,MEDIUM,5,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0015,Achooranam,Wayanad,Vythiri,DEMO-01-07,DEMO-01/412,3,964.3,0.0964,Forest-fringe,11.5536528,76.047254,1012.6,8.4,51.0,179.8,0.6,0.608,0.247,1940.0,852.6,1506.3,0.452,0.788,33.9,MEDIUM,36,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0016,Achooranam,Wayanad,Vythiri,DEMO-01-17,DEMO-01/836,1,1263.3,0.1263,Residential,11.553502,76.0483571,881.1,13.1,174.6,134.0,0.69,0.429,0.36,755.1,498.2,345.2,0.546,0.284,43.9,MEDIUM,130,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0017,Achooranam,Wayanad,Vythiri,DEMO-01-07,DEMO-01/481,8,2532.4,0.2532,Residential,11.5535622,76.0494196,1112.4,20.7,135.7,179.8,0.0,0.064,0.479,1028.3,671.9,1480.9,0.179,0.813,38.0,MEDIUM,72,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0018,Achooranam,Wayanad,Vythiri,DEMO-01-17,DEMO-01/514,5,5035.5,0.5036,Residential,11.5538264,76.0510062,850.7,35.7,73.7,176.3,0.72,0.839,0.517,2040.6,935.0,1209.8,0.413,0.803,54.7,HIGH,209,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0019,Achooranam,Wayanad,Vythiri,DEMO-01-06,DEMO-01/190,4,736.9,0.0737,Plantation,11.5537946,76.0519467,846.0,33.5,210.7,518.5,0.06,0.279,0.757,2139.7,204.3,515.0,0.342,0.674,54.2,HIGH,205,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0020,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/569,5,6929.8,0.693,Residential,11.5536234,76.0529247,1032.2,14.4,142.5,481.0,0.63,0.175,0.418,1286.3,1154.6,1709.0,0.183,0.79,40.5,MEDIUM,98,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0021,Achooranam,Wayanad,Vythiri,DEMO-01-03,DEMO-01/807,7,2367.9,0.2368,Mixed,11.5537383,76.0540988,1265.3,20.4,128.3,459.8,0.81,0.72,0.511,74.1,514.7,1250.5,0.538,0.434,53.7,HIGH,203,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0022,Achooranam,Wayanad,Vythiri,DEMO-01-18,DEMO-01/221,3,7575.3,0.7575,Residential,11.5536771,76.0552556,760.3,18.5,148.5,468.1,0.0,0.358,0.495,1319.0,672.5,180.8,0.367,0.497,40.9,MEDIUM,106,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0023,Achooranam,Wayanad,Vythiri,DEMO-01-03,DEMO-01/16,6,4494.0,0.4494,Residential,11.5537272,76.0563954,843.0,32.2,211.0,270.9,1.26,0.84,0.681,679.6,1090.0,833.5,0.252,0.405,69.9,HIGH,249,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0024,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/744,1,6792.8,0.6793,Mixed,11.5537161,76.05777,1157.5,9.2,212.0,463.9,0.14,0.616,0.254,1561.5,749.5,469.2,0.226,0.88,37.2,MEDIUM,61,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0025,Achooranam,Wayanad,Vythiri,DEMO-01-08,DEMO-01/958,4,7830.4,0.783,Residential,11.5537512,76.0588469,748.2,19.9,73.4,159.2,0.31,0.207,0.446,609.5,867.1,1743.0,0.268,0.453,41.2,MEDIUM,113,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0026,Achooranam,Wayanad,Vythiri,DEMO-01-19,DEMO-01/563,5,5018.7,0.5019,Plantation,11.5547796,76.0313925,839.5,34.6,173.0,352.0,0.06,0.032,0.667,1759.1,1064.3,167.6,0.611,0.368,47.6,MEDIUM,161,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0027,Achooranam,Wayanad,Vythiri,DEMO-01-17,DEMO-01/950,6,1732.8,0.1733,Residential,11.5548354,76.0323688,997.2,24.5,51.3,173.3,0.7,0.542,0.467,673.3,182.6,157.1,0.03,0.361,41.1,MEDIUM,110,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0028,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/249,4,1438.2,0.1438,Mixed,11.5548688,76.0336193,1015.7,37.4,217.0,473.6,0.11,0.047,0.595,888.7,74.0,142.3,0.468,0.831,49.8,MEDIUM,173,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0029,Achooranam,Wayanad,Vythiri,DEMO-01-02,DEMO-01/957,1,4297.3,0.4297,Plantation,11.554775,76.0345111,768.4,29.6,196.1,613.6,0.33,0.823,0.623,111.8,469.1,1190.1,0.53,0.646,65.1,HIGH,244,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0030,Achooranam,Wayanad,Vythiri,DEMO-01-18,DEMO-01/104,7,3878.1,0.3878,Forest-fringe,11.5552812,76.0356339,1200.9,32.0,203.3,442.7,0.52,0.44,0.749,1063.6,362.7,361.7,0.635,0.574,58.6,HIGH,230,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0031,Achooranam,Wayanad,Vythiri,DEMO-01-07,DEMO-01/990,6,5569.1,0.5569,Mixed,11.5549063,76.0368248,1009.7,32.6,169.3,396.8,0.81,0.603,0.581,647.2,271.3,684.6,0.566,0.42,59.2,HIGH,231,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0032,Achooranam,Wayanad,Vythiri,DEMO-01-18,DEMO-01/747,3,2112.4,0.2112,Residential,11.5550174,76.0381293,1094.6,14.4,133.0,351.6,0.33,0.53,0.315,908.7,365.5,512.0,0.565,0.428,39.0,MEDIUM,83,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0033,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/259,3,1875.0,0.1875,Residential,11.5551369,76.0394172,1286.5,4.5,212.2,405.6,0.79,0.447,0.319,1809.7,492.6,1301.0,0.55,0.561,41.3,MEDIUM,115,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0034,Achooranam,Wayanad,Vythiri,DEMO-01-18,DEMO-01/788,7,970.5,0.097,Mixed,11.5551899,76.0403034,1178.7,9.5,81.8,326.3,0.93,0.731,0.377,292.6,69.1,1377.6,0.173,0.422,43.6,MEDIUM,128,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0035,Achooranam,Wayanad,Vythiri,DEMO-01-15,DEMO-01/338,3,4334.9,0.4335,Residential,11.5548894,76.0415533,716.3,21.0,185.7,183.7,0.2,0.229,0.361,1749.1,946.3,410.2,0.347,0.801,40.0,MEDIUM,93,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0036,Achooranam,Wayanad,Vythiri,DEMO-01-16,DEMO-01/522,1,4606.6,0.4607,Agriculture,11.5549011,76.0424202,1066.6,7.1,117.8,499.1,0.53,0.291,0.185,1383.5,690.1,762.6,0.212,0.546,28.6,MEDIUM,9,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0037,Achooranam,Wayanad,Vythiri,DEMO-01-05,DEMO-01/361,6,3779.4,0.3779,Forest-fringe,11.5547915,76.044088,1231.9,19.1,107.5,254.1,0.29,0.29,0.358,1221.8,904.9,169.8,0.562,0.466,34.0,MEDIUM,38,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0038,Achooranam,Wayanad,Vythiri,DEMO-01-08,DEMO-01/534,2,1387.4,0.1387,Forest-fringe,11.5551849,76.045047,796.8,26.5,99.8,472.9,0.59,0.379,0.581,287.8,1198.7,645.9,0.575,0.729,50.6,HIGH,178,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0039,Achooranam,Wayanad,Vythiri,DEMO-01-04,DEMO-01/173,3,598.2,0.0598,Agriculture,11.5548954,76.0462548,826.3,30.4,159.9,111.9,0.45,0.073,0.647,1782.3,851.1,153.1,0.43,0.82,46.9,MEDIUM,156,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0040,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/524,5,2472.7,0.2473,Mixed,11.5550994,76.047195,1228.1,19.3,50.1,247.5,0.26,0.469,0.499,398.7,939.4,1757.9,0.127,0.581,41.0,MEDIUM,109,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0041,Achooranam,Wayanad,Vythiri,DEMO-01-09,DEMO-01/794,1,2825.9,0.2826,Plantation,11.5549132,76.0485982,837.7,6.9,140.3,181.5,0.54,0.666,0.378,796.2,132.0,783.6,0.312,0.821,43.1,MEDIUM,124,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
